time, Quad.Est.E.Pos, Quad.Est.S.Z
3.124956,0.226200,0.308606
3.129956,0.226241,0.308726
3.134955,0.226306,0.308906
3.139955,0.226351,0.309027
3.144954,0.226418,0.309209
3.149954,0.226465,0.309331
3.154954,0.226537,0.309514
3.159953,0.226560,0.309637
3.164953,0.226625,0.309822
3.169953,0.226617,0.309946
3.174952,0.226668,0.310133
3.179952,0.226723,0.310258
3.184952,0.226779,0.310447
3.189951,0.226892,0.310573
3.194951,0.226965,0.310763
3.199950,0.227008,0.310891
3.204950,0.211877,0.308217
3.209950,0.211895,0.308334
3.214949,0.212011,0.308511
3.219949,0.212025,0.308629
3.224949,0.212151,0.308808
3.229948,0.212226,0.308927
3.234948,0.212357,0.309107
3.239948,0.212439,0.309228
3.244947,0.212581,0.309409
3.249947,0.212661,0.309531
3.254946,0.212788,0.309714
3.259946,0.212810,0.309837
3.264946,0.212910,0.310022
3.269945,0.212996,0.310146
3.274945,0.213099,0.310333
3.279945,0.213131,0.310458
3.284944,0.213226,0.310646
3.289944,0.213264,0.310772
3.294944,0.213352,0.310962
3.299943,0.213601,0.311090
3.304943,0.150849,0.308414
3.309942,0.150612,0.308531
3.314942,0.150399,0.308708
3.319942,0.150274,0.308826
3.324941,0.150058,0.309004
3.329941,0.149993,0.309124
3.334941,0.149750,0.309304
3.339940,0.149585,0.309424
3.344940,0.149346,0.309606
3.349940,0.149175,0.309727
3.354939,0.148919,0.309910
3.359939,0.148793,0.310033
3.364938,0.148558,0.310218
3.369938,0.148406,0.310342
3.374938,0.148174,0.310528
3.379937,0.148107,0.310653
3.384937,0.147895,0.310841
3.389937,0.147655,0.310967
3.394936,0.147429,0.311157
3.399936,0.147299,0.311284
3.404936,0.169667,0.308607
3.409935,0.169490,0.308724
3.414935,0.169559,0.308901
3.419935,0.169601,0.309019
3.424934,0.169676,0.309197
3.429934,0.169726,0.309316
3.434933,0.169806,0.309496
3.439933,0.169871,0.309616
3.444933,0.169945,0.309798
3.449932,0.169998,0.309919
3.454932,0.170078,0.310102
3.459932,0.170141,0.310225
3.464931,0.170229,0.310409
3.469931,0.170304,0.310533
3.474931,0.170400,0.310719
3.479930,0.170460,0.310844
3.484930,0.170559,0.311032
3.489929,0.170601,0.311158
3.494929,0.170699,0.311348
3.499929,0.170824,0.311475
3.504928,0.163401,0.308796
3.509928,0.163679,0.308913
3.514928,0.164201,0.309089
3.519927,0.164539,0.309207
3.524927,0.165067,0.309385
3.529927,0.165456,0.309504
3.534926,0.165977,0.309684
3.539926,0.166310,0.309804
3.544925,0.166851,0.309985
3.549925,0.167212,0.310107
3.554925,0.167757,0.310289
3.559924,0.168117,0.310412
3.564924,0.168664,0.310596
3.569924,0.169034,0.310720
3.574923,0.169586,0.310906
3.579923,0.170000,0.311031
